videoId,textDisplay,cleanedData,likeCount,publishedAt,updatedAt,commentId
wUn05hdkhjM,"Far out Karen Gillan is such an awful actress, everything she says feels so forced. Shame they gave her such a cool character, I noticed it in the first movie and hated her for it. They should have just killed her off.",far out karen gillan is such an awful actress everything she says feels so forced shame they gave her such a cool character i noticed it in the first movie and hated her for it they should have just killed her off,0,2017-03-28T14:14:36Z,2017-03-28T14:14:36Z,UgxNG86gUYof7L0tYM94AaABAg
wUn05hdkhjM,Amy Pond really changed.....,amy pond really changed,0,2017-03-28T13:23:10Z,2017-03-28T13:23:10Z,UgyoQ0PMncYhYv1CnuB4AaABAg
wUn05hdkhjM,Guardians of Anxiety!,guardians of anxiety,0,2017-03-28T04:57:07Z,2017-03-28T04:57:07Z,UgwYRn7_In2TiJhCN-R4AaABAg
wUn05hdkhjM,Another garbage INCOMING ! from marvel,another garbage incoming  from marvel,0,2017-03-27T11:52:14Z,2017-03-27T11:52:14Z,UgwoiNMnRHuxuqd63qR4AaABAg
wUn05hdkhjM,"Im still pissed that they chose to name the Dad&#39;s character Ego.  If he is not a giant planet, then it is not the same character at all, just another character with the same first name.",im still pissed that they chose to name the dads character ego  if he is not a giant planet then it is not the same character at all just another character with the same first name,0,2017-03-27T02:18:31Z,2017-03-27T02:18:31Z,UgxhrEDGAIl7zbTRgpl4AaABAg
wUn05hdkhjM,Marvel MY DID YOU KILL OFF WOLVERINE!!!!!!😡😡😡😡😡😢😢😢😢😢😢😢😢😢😢😢😢😢😢,marvel my did you kill off wolverine,0,2017-03-26T05:38:26Z,2017-03-26T05:38:26Z,Ugy6bqRXgbsXyadS0uN4AaABAg
wUn05hdkhjM,She looks like Yellow Diamond.....,she looks like yellow diamond,0,2017-03-25T21:04:59Z,2017-03-25T21:04:59Z,UgxWQjF8HZSiXp2AdHZ4AaABAg
wUn05hdkhjM,oderei a musica,oderei a musica,0,2017-03-25T04:59:57Z,2017-03-25T04:59:57Z,UgynhvWKCwJPMzvnc794AaABAg
wUn05hdkhjM,"&quot;Pete, I am your father&quot;.  Sounds familiar.  Also.. people in the UK will be expecting cars when they hear The Chain.  Expect a petrolhead backlash.  Just sayin&#39;..",pete i am your father  sounds familiar  also people in the uk will be expecting cars when they hear the chain  expect a petrolhead backlash  just sayin,0,2017-03-24T15:01:47Z,2017-03-24T15:01:47Z,UgwQPTqzPGcKcSFjTKF4AaABAg
wUn05hdkhjM,meh,meh,1,2017-03-21T12:27:20Z,2017-03-21T12:27:20Z,Uggu_ekeGtFicXgCoAEC
wUn05hdkhjM,"Lol Stop releasing trailers, everyone is already sold on this movie.",lol stop releasing trailers everyone is already sold on this movie,0,2017-03-21T04:39:49Z,2017-03-21T04:39:49Z,UghqpG_mFHAElXgCoAEC
wUn05hdkhjM,OMG THEY USED FLEETWOOD MAC&#39;S SONG &quot;The Chain&quot;!!!! YEEESSSSSSS!!,omg they used fleetwood macs song the chain yeeesssssss,0,2017-03-20T16:35:24Z,2017-03-20T16:35:24Z,Ughb2gWbugmysngCoAEC
wUn05hdkhjM,Adam Warlock confirmed. The avenger&#39;s infinity war movies are going to be amazing,adam warlock confirmed the avengers infinity war movies are going to be amazing,3,2017-03-19T00:01:55Z,2017-03-19T00:01:55Z,UgihRivAM4L-q3gCoAEC
wUn05hdkhjM,Wait how is this trailer sexist again,wait how is this trailer sexist again,0,2017-03-18T15:51:36Z,2017-03-18T15:51:36Z,UghXNrGmo4fQoXgCoAEC
wUn05hdkhjM,DIE SPACESHIP!,die spaceship,0,2017-03-18T01:46:08Z,2017-03-18T01:46:08Z,UgiNceajkqWVtXgCoAEC
wUn05hdkhjM,ok debait time marvle vs dc ( we no marvle has already won with 1000000000000000000000 to 0.00000000000000000001,ok debait time marvle vs dc  we no marvle has already won with 1000000000000000000000 to 000000000000000000001,0,2017-03-17T19:46:55Z,2017-03-17T19:46:55Z,UgiLx-svvtHSP3gCoAEC
wUn05hdkhjM,what is the background song,what is the background song,0,2017-03-17T17:35:22Z,2017-03-17T17:35:22Z,UgjxlBdIVOuBkXgCoAEC
wUn05hdkhjM,My body is so ready,my body is so ready,0,2017-03-17T12:46:30Z,2017-03-17T12:46:30Z,UgijfoKA_tbGi3gCoAEC
wUn05hdkhjM,"i think <a href=""http://www.youtube.com/watch?v=wUn05hdkhjM&amp;t=1m46s"">1:46</a> is the best part of the trailer",i think 146 is the best part of the trailer,0,2017-03-16T20:59:32Z,2017-03-16T20:59:32Z,UgjrpaeVGXDcs3gCoAEC
wUn05hdkhjM,and if you dont love me now<br>you will never love me again,"and if you dont love me now
you will never love me again",0,2017-03-16T14:19:25Z,2017-03-16T14:19:25Z,UgiaUs_MDgpDx3gCoAEC
