Video ID,Comment,Comment ID,Published At,Updated At,Likes
6ZfuNTqbHE8,Wow so hyped for this movie to come out and see it for the first time!! (😖),Ugx5R-Y92GmsvtcHBTR4AaABAg,2023-04-04T03:49:47Z,2023-04-04T03:49:47Z,1
6ZfuNTqbHE8,Man 5 years?,UgwM3AB3w1YrFsC2A0R4AaABAg,2023-04-04T03:31:54Z,2023-04-04T03:31:54Z,0
6ZfuNTqbHE8,It’s been 5 years and I still got goosebumps,Ugx3vv7Pabd3dgG6TDp4AaABAg,2023-04-04T02:13:44Z,2023-04-04T02:13:44Z,1
6ZfuNTqbHE8,I could rewatch this movie a million times and still never get bored,Ugx_bfuifaKI0pdp2rt4AaABAg,2023-04-04T01:58:59Z,2023-04-04T01:58:59Z,658
6ZfuNTqbHE8,This was the peak of MCU,UgzB4Tu10XXDY0YnzMB4AaABAg,2023-04-03T21:45:13Z,2023-04-03T21:45:13Z,0
6ZfuNTqbHE8,I miss this so much this movie was a feeling,UgwOGLxhJwWfZNTW5LB4AaABAg,2023-04-03T20:13:14Z,2023-04-03T20:13:14Z,2
6ZfuNTqbHE8,5 years later. And nothing matches the hype for this movie and endgame,UgwvJavGWpkXlGtUO2p4AaABAg,2023-04-03T18:32:35Z,2023-04-03T18:32:35Z,1
6ZfuNTqbHE8,"""There was an idea...""",UgymCEsaW_H0-iu5Jxl4AaABAg,2023-04-03T16:33:21Z,2023-04-03T16:33:21Z,1
6ZfuNTqbHE8,Being able to see this in theaters was a beautiful 1 time experience,Ugy7ltRvmFhlwPvHf0B4AaABAg,2023-04-03T16:32:49Z,2023-04-03T16:32:49Z,1
6ZfuNTqbHE8,Cap's entrance was hard💪,UgzGN04DIroCwdcC7614AaABAg,2023-04-03T16:04:13Z,2023-04-03T16:04:13Z,1
6ZfuNTqbHE8,It's Been 10 year And Still it gives goosebumps,UgxugduzjO2Pwy9AMUR4AaABAg,2023-04-03T13:35:55Z,2023-04-03T13:35:55Z,4
6ZfuNTqbHE8,2023 and I am here after seeing Marvel messing with their movies 🥲,Ugzym9h7dyBGiInSwNp4AaABAg,2023-04-03T12:46:24Z,2023-04-03T12:46:24Z,2
6ZfuNTqbHE8,The best superhero movie ever,UgwQeRLgvXlKCXDFBVd4AaABAg,2023-04-03T10:20:45Z,2023-04-03T10:20:45Z,2
6ZfuNTqbHE8,The re watchablity of Infinity war is better than Endgame,UgxaXJzb09mq4gqp47V4AaABAg,2023-04-03T10:16:19Z,2023-04-03T10:16:19Z,4
6ZfuNTqbHE8,still goosebumps,UgwSzx8TUf5O8ZRFmCV4AaABAg,2023-04-03T09:10:09Z,2023-04-03T09:10:09Z,1
6ZfuNTqbHE8,INFINITY WAR >>> endgame,Ugxn4HJqoMbgV2PY6at4AaABAg,2023-04-03T06:48:48Z,2023-04-03T06:48:48Z,2
6ZfuNTqbHE8,"🇱 🇴 🇻 🇪  🇫 🇷 🇴 🇲   [♥] [🇧🇩]

❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
❤                                                               ❤ 
❤ 🇧 🇦 🇳 🇬 🇱 🇦 🇩 🇪 🇸 🇭    ❤
❤                                                               ❤
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤

           💚💚💚💚💚💚💚💚💚💚
           💚💚💚💚❤️💚💚💚💚💚
           💚💚💚❤️❤️❤️💚💚💚💚
           💚💚💚💚❤️💚💚💚💚💚
           💚💚💚💚💚💚💚💚💚💚",UgzqS7UtT6Ae_TfCTax4AaABAg,2023-04-03T06:07:34Z,2023-04-03T06:07:34Z,2
6ZfuNTqbHE8,"You ever just come back to this trailer and just say ""I miss THIS marvel?""",UgyvHXqzQ98kiCMuQTZ4AaABAg,2023-04-03T04:07:41Z,2023-04-03T04:07:41Z,4
6ZfuNTqbHE8,"I can’t believe it’s 5 years already. 
We are getting old.",UgxCde6dBIiXz5lxT814AaABAg,2023-04-02T22:23:59Z,2023-04-02T22:23:59Z,1
6ZfuNTqbHE8,This STILL gets me so excited,UgyS94l1IOI5ojRjpA94AaABAg,2023-04-02T20:38:16Z,2023-04-02T20:38:16Z,0
6ZfuNTqbHE8,"The First 2 Avengers films 
Avengers - 8.9/10
Avengers: Age of Ultron - 9.8/10
We’re pretty good.
I’ll get Avengers Infinity War/Endgame I’ll Check those Out.

Can’t wait to see Avengers: Secret Wars/The Kang Dynasty.",UgxrnNhaKHEj9N30_Ed4AaABAg,2023-04-02T06:42:26Z,2023-04-02T06:44:14Z,0
6ZfuNTqbHE8,This Trailer is better then whole she Hulk series 😁,Ugyg4YHzXjw0OczExK14AaABAg,2023-04-02T05:29:40Z,2023-04-02T05:29:40Z,6
6ZfuNTqbHE8,What a time to be alive as a marvel fan.,UgzXp3mrUfZxd92_4cl4AaABAg,2023-04-02T04:02:59Z,2023-04-02T04:02:59Z,0
